ranking,band_singer,title,year,song_id,lyrics
3,Carole King,It's Too Late/I Feel the Earth Move,1971,4835507,"7 ContributorsFire In The Booth Lyrics[Verse 1]
Well let me introduce myself my name is BiG HEATH
I’m not your average gang rapper making quick cheese
I’m on legit schemes trying to flip my big dreans
And Jacamo’s the only brand that seems to fit me
This shit G I’m feeling alone
I thought this was the rap game, it feels like a clone
I see too many rappers on that read off their phone
So bitch listen to your lyrics ‘fore you come on this show
Man I’m real to the bone, I can’t say this any clearer
But Charlie when I look at you it’s like looking in the mirror
Like two fly fat guys looking for some damn fries
Fire in the booth I feel like I’ve been baptized
I waited 10 years for this and this is no lie
I wrote a bucket list of things and this is number 5
I won't stop ‘til I drop I love the grind
And number 5 was to own a Subway franchise
But that’s how the game goes it’s kinda lame bro
Their shit melodies and rapping with the same flows
I spray cold I’m surprised the game ain't froze
And 7 days a week I lay low for payroll
So ay bro you ain't amazing at this
You got the most basic flow and it’s basically shit
It’s like you robbing all these bladders and you’re taking the piss
You ain't raising the bar you ain't even raising your kids
You a stand aside rapper, ain't a man of mine rapper
You a dress good, shit hook glamorise rapper
No fan of mine rapper, couldn’t handle grime rapper
Your words move slow and you’re a paralyzed rapper
And I ain't kidding though you never hear me fibbing though
I used to work a 9-5 to pay for my videos
YouTube the vimeo I do this for my city bro
Fingers up in every pie the young white Diddy bro
You see I’ve always been fascinated by enterprises
I’m up and coming just like how the London’s rent is rising
I got the best of rhyming I just invest in trying
A lot of hard work and yeah I swear the rest is timing
But now these brothers all just wanna come and laugh though
Cos I’ve never had a gat and let the shit go blast though
You shitty little arseholes at least I’m not faking
Your boys might sell drugs, my boys take ‘em
And I don’t mean to sound cool I grew school around fools
Fuck the ground rules
I’m even breaking down the down rules
Around town my sound rules
Fuck you and your clown tools
Here to be the King taking everything their crown jewels
My whole life I dedicated to rap
A born entertainer I just serenade with the track
So blatant the fact your track’s blatantly jack
The game’s fucked right now like it pays to be whack
Now for the sake of the map I’m straight spraying the facts
Rappers sleep on the beat like their taking a nap
But Charlie tell me who to blame cos the game’s in a trap
And like a VAR decision I’m taking it back
I never lose I’m a winner in this boss phase
Been Slimming World for 10 years and never ever lost weight
Only ever lost mates so fuck it man I’m over
Well actually I can’t lie I lost my Sky controller
But I’m sorry if I seem stressed I don’t think you understand
I’m just trying to be best I’ve always had a fucking plan
Yeah I’m the fucking man that might seem cocky
On Halloween I’ll go to Sweden dressed as A$AP Rocky
You might also like[Verse 2]
Well man I fell in love with hip-hop and I’ma never let this shit stop
Masta Ace all the way to fucking Rick Ross
And no games you don’t wanna make Chris cross
Me and Charlie hit WingStop until the wings stop
But pitstop cos I need to breathe
I’m running rap like a mouse running to the cheese
I’m sick and tired of rappers hiding all behind their beats
And in their cyphers the only time I get in beef
So please I’m not really on that shooting life
But if it’s do-or-die trust me it’ll be you not I
I’ll spike your blunt and make you jump from a stupid height
Then write a note and make it look like it was suicide
Now who am I? I’m the fattest of them all
Been rapping since a younger I was rapping back in school
I smack it when I’m rapping and I’m overlapping fools
The best when under pressure and my back’s against the wall
We back Charlie tell me where to begin
I’ve been fat for so long I’m probably scared to be thin
And where are my kins? All shoutin’ lose weight!
But like a couple of copies man trust I think it’s too late
My whole life man I’ve repped it different
Lord knows I wanted was some recognition
Please just listen ‘fore Biggie busts his load
Girls say I look cute, “I love his chode”
But I rub their throat ‘til their husband’s home
I got all my nerds saying we don’t love these hoes
Flip my phone when I bone I don’t trust these phones
But the truth is I don’t really fuck these hoes
I’m still a virgin and man I’m learning
And last week I had a bad bitch twerking
We was flirting, oh I was certain!
Oh she’s a stripper and she was only working?!
I get nervous and then I start stammering
Love a BBW I always dibble dabble in
Trying to find a chick so I can’t start the hammering
Trying to find my dick, better luck finding Madeline
And Instagram chicks really getting bored of ‘em
Gotten to the point I just start ignoring ‘em
I talk numbers always end up boring ‘em
Why my sexual fantasy’s fucking Carole Vorderman
And Big bad Heath we ain’t talking gun crime
I could beat your whole catalog with like one line
My punchlines are dumb fine
Fuck you and your bum rhyme
Bullies back in lunchtime, brother this is crunch time!
And I’m a heavy don arrogant and never wrong
Let alone a boner I’m just trying to get a semi-on
The game’s full of bitches all they need is femidom
Charlie man I clocked you can’t please everyone
I built a brand from the bottom with no name
You should hear my Nan she’s playing her bowls games
“He’s working hard, he wants the whole game!
And one day Derek I’m sure he’ll have gold chains”
And being down to Earth’s the only way I had to be
All the glitz and glammer is nothing like my family
But tragically I’ve always been a cunt bro
I say it’s fine for stage fright then boo him at the front row
I paint a picture more vivid than Spike Lee
Married to the game I went on my right knee
Brothers they spike me ‘cos they can’t outwrite me
Course you don’t like HEATH, you are not like me
Of course I go sick I’m born for this shit
It’s no doubt I had to get Diztortion on this
The most normal of kids I want four different whips
I want a Stella in my hand a portion of chips
[Verse 3]
Let me be clear half of these artists are just damn lame
They sell their sole the moment they find some fan-fame
I’m here to bring a little humour the rap game
So in the comments tell me if it’s plantin or plantain
This year I tried for jolla the first time
I can’t lie I must admit the shit was quite nice
At first I thought it was just a portion of rice
But with a little spice, mm that’s darn nice
Right you know I’m flowing it cold
And lord knows I’m getting bored of mum’s toad in the hole
You need some spice mum, I’m being nice mum
I’m not racist but you’re really too white mum
See what’s logic if it isn’t backed with reasoning
But mum please stop cooking chicken with no seasoning
I swear the game’s changed the game’s past treason
These rappers let down like Game of Throne’s last season
And I’m sick and tired of rappers feeling like I’ve got something to prove
Cos I’m not a big trapper just in love with the booth
Cos you don’t know about those nights I was stuck in my room
To get away from all the bullies it was something to prove
And yes I am overweight but I can stomach the truth
And you ain't gotta sell drugs to be a hustler dude
I coulda had a good job I got something to lose
So don’t you ever dare question or judge what I do
It’s nothing but truth I hope you’re getting the message
I’m from a different walk of life it’s no lesser a lesson
But you acting big ‘cos you know Dennis the Menace
I can’t relate to all that shit, I play tennis with Dennis
And I was gonna rap some drill Charlie I swear I nearly bought a mask
I decided I’d be Peter Pan but in the end I thought I’d pass
I can’t run from feds, you never see me walking fast
Still I’m up in Nando’s putting Fanta in the water glass
And real shit I don’t do this for the clout no
These bad thoughts just the way I let them out bro
And if you need help please then please shout bro
One love to Charlie and the team I’m out though1Embed"
4,The Osmonds,One Bad Apple,1971,624136,"3 ContributorsOne Bad Apple LyricsI can tell you've been hurt
By that look on your face, girl
Some guy brought sad
Into your happy world

You need love
But you're afraid that if you give in
Someone else will come along
And sock it to you again

One bad apple don't spoil the whole bunch, girl
Oh, give it one more try
Before you give up on love

One bad apple don't spoil the whole bunch, girl
Oh, I don't care what they say
I don't care what you heard

I could make you happy, baby
Satisfy you, too
But how can I
If you won't give me a chance to prove my love to you?
Won't you just give me one chance?
I'll give you my guarantee That you won't be hurt again

One bad apple don't spoil the whole bunch, girl
Oh, give it one more try
Before you give up on love
You might also likeOne bad apple don't spoil the whole bunch, girl
Oh, I don't care what they say
I don't care what you heard now

I've been noticing you, baby
For a long, long time
And I'm not ashamed to tell the world
That you really messed up my mind

Girl, to me you're like a dream come true
I'd rather hurt myself
Than to ever hurt you

One bad apple don't spoil the whole bunch, girl
Oh, give it one more try
Before you give up on love, girl

One bad apple don't spoil the whole bunch, girl
Oh, I don't care what they say
I don't care what you heard now

One bad apple don't spoil the whole bunch, girlEmbed"
5,Bee Gees,How Can You Mend a Broken Heart,1971,2254506,"12 ContributorsHow Can You Mend a Broken Heart Lyrics[Verse 1]
I can think of younger days when living for my life
Was everything a man could want to do
I could never see tomorrow
But I was never told about the sorrows

[Chorus]
And, how can you mend a broken heart?
How can you stop the rain from falling down?
How can you stop the sun from shining?
What makes the world go round?
How can you mend this broken man?
How can a loser ever win?
Please help me mend my broken heart and let me live again

[Verse 2]
I can still feel the breeze that rustles through the trees
And misty memories of days gone by
We could never see tomorrow
No one said a word about the sorrow

[Chorus]
And how can you mend a broken heart?
How can you stop the rain from falling down?
How can you stop the sun from shining?
What makes the world go round?
And how can you mend this broken man?
How can a loser ever win?
Please help me mend my broken heart and let me live again
You might also like[Bridge]
La la la la la la, la la la la
La la la la la la, la la la la

[Outro]
Please help me mend my broken heart and let me live again
Da da da da
Da da da da, da da da da da, da1Embed"
6,Raiders,Indian Reservation (The Lament of the Cherokee Reservation Indian),1971,315395,"16 ContributorsIndian Reservation (The Lament of the Cherokee Reservation Indian) Lyrics[Verse 1]
They took the whole Cherokee nation
Put us on this reservation
Took away our ways of life
The tomahawk and the bow and knife
Took away our native tongue
And taught their English to our young
And all the beads we made by hand
Are nowadays made in Japan

[Chorus]
Cherokee people, Cherokee tribe
So proud to live, so proud to die

[Verse 2]
They took the whole Indian nation
Locked us on this reservation
Though I wear a shirt and tie
I'm still part red man deep inside

[Chorus]
Cherokee people, Cherokee tribe
So proud to live, so proud to die

[Outro]
But maybe someday when they've learned
Cherokee nation will return, will return, will return, will return, will returnYou might also like1Embed"
7,Donny Osmond,Go Away Little Girl,1971,567442,"6 ContributorsGo Away Little Girl LyricsGo away, little girl
Go away, little girl
I'm not supposed to be alone with you
I know that your lips are sweet
But our lips must never meet
I'm dating somebody else
I must be true

Oh, go away little girl
Go away, little girl
It's hurting me more each minute that we delay

When you're near me like this
You're much too hard to resist
So go away, little girl
Before I beg you to stay

Go away, little girl
Go away, little girl
It hurts me more the more that we delay
When you're near me like this
You're much too hard to resist

So go away, little girl
Let's call it a day, little girl
Please, go away, little girl
Before I beg you to stayYou might also likeEmbed"
8,John Denver,"Take Me Home, Country Roads",1971,138406,"96 ContributorsTranslationsTürkçeSvenskaTake Me Home, Country Roads Lyrics[Verse 1]
Almost Heaven, West Virginia
Blue Ridge Mountains, Shenandoah River
Life is old there, older than the trees
Younger than the mountains, growing like a breeze

[Chorus]
Country roads, take me home
To the place I belong
West Virginia, mountain mama
Take me home, country roads

[Verse 2]
All my memories gather 'round her
Miner's lady, stranger to blue water
Dark and dusty, painted on the sky
Misty taste of moonshine, teardrop in my eye

[Chorus]
Country roads, take me home
To the place I belong
West Virginia, mountain mama
Take me home, country roads

[Bridge]
I hear her voice in the morning hour, she calls me
The radio reminds me of my home far away
Driving down the road, I get a feeling
That I should have been home yesterday, yesterday
You might also like[Chorus]
Country roads, take me home
To the place I belong
West Virginia, mountain mama
Take me home, country roads
Country roads, take me home
To the place I belong
West Virginia, mountain mama
Take me home, country roads

[Outro]
Take me home, (Down) country roads
Take me home, (Down) country roads65Embed"
9,The Temptations,Just My Imagination (Running Away with Me),1971,90812,"31 ContributorsJust My Imagination (Running Away with Me) Lyrics[Intro]
Oooh

[Verse 1]
Each day through my window I watch her as she passes by
I say to myself, ""You're such a lucky guy""
To have a girl like her is truly a dream come true
Out of all the fellows in the world, she belongs to you

[Chorus]
But it was just my imagination
Runnin' away with me
It was just my imagination
Runnin' away with me

[Verse 2]
Ooh (Soon)
Soon we'll be married and raise a family (Oh yeah)
A cozy little home out in the country
With two children, maybe three
I tell you I (I, I) can visualize it all
This couldn't be a dream, for too real it all seems

[Chorus]
But it was just my imagination, once again
Runnin' away with me
Tell you, it was just my imagination
Runnin' away with me
You might also like[Bridge]
Ev'ry night on my knees I pray
""Dear Lord, hear my plea
Don't ever let another take her love from me""
Or I will surely die, hmm
(Her love is) heavenly
When her arms enfold me
I hear a tender rhapsody
But in reality
She doesn't even know me

[Chorus]
(Just my imagination) Once again
Runnin' away with me, oh
Tell you it was just my imagination
Runnin' away with me

[Outro]
I’ve never met her but I can't forget her
(Just my imagination) Ooh, yeah, yeah, yeah, yeah
Runnin' away with me, ooh
Just my imagination
Runnin' away with me

She's never hard to find (Just my imagination)
She's always on my mind (Runnin' away with me)6Embed"
10,Tony Orlando and Dawn,Knock Three Times,1971,621625,"7 ContributorsKnock Three Times Lyrics[Verse 1]
Hey girl, whatcha doing down there?
Dancin' alone every night while I live right above you

[Pre-Chorus 1]
I can hear your music playing
I can feel your body swaying
One floor below me, you don't even know me
I love you

[Chorus]
Oh my darling
Knock three times on the ceiling if you want me
Mmm, twice on the pipe if the answer is no
Oh, my sweetness (*knock*, *knock*, *knock*)
Means you'll meet me in the hallway
Woh-oh, twice on the pipe (*knock*, *knock*)
Means you ain't gonna show

[Verse 2]
If you look out your window tonight
Pull in the string with the note that's attached to my heart

[Pre-Chorus 2]
Read how many times I saw you
How in my silence I adored you
And only in my dreams did that wall between us
Come apart
You might also like[Chorus]
Oh my darling
Knock three times on the ceiling if you want me
Mmm, twice on the pipe if the answer is no
Woh, my sweetness (*knock*, *knock*, *knock*)
Means you'll meet me in the hallway
Woh-oh, twice on the pipe (*knock*, *knock*)
Means you ain't gonna show

[Pre-Chorus 1]
Woh-oh, I can hear the music playing
I can feel your body swaying
One floor below me you don't even know me
I love you

[Chorus]
Oh my darling
Knock three times on the ceiling if you want me
Woh-oh, twice on the pipe if the answer is no
(I love you, I love you, I Love you)
Oh, my sweetness (*knock*, *knock*, *knock*)
Means you'll meet me in the hallway
Mmm, twice on the pipe (*knock*, *knock*)
Means you ain't gonna show

[Outro]
Oh my darling
Knock [fade]1Embed"
1,Roberta Flack,The First Time Ever I Saw Your Face,1972,1320150,"16 ContributorsThe First Time Ever I Saw Your Face Lyrics[Verse 1]
The first time, ever I saw your face
I thought the sun rose in your eyes
And the moon and the stars
Were the gifts you gave
To the dark, and the endless skies

[Verse 2]
And the first time, ever I kissed your mouth
I felt the earth move in my hand
Like the trembling heart
Of a captive bird
That was there, at my command
My love

[Verse 3]
And the first time, ever I lay with you
I felt your heart so close to mine
And I knew our joy
Would fill the earth
And last, 'til the end of time
My love

[Outro]
The first time, ever I saw
Your face
Your face
Your face
Your faceYou might also like2Embed"
2,"Sullivan""]",Alone Again (Naturally),1972,556507,"44 ContributorsAlone Again (Naturally) Lyrics[Verse 1]
Oh, in a little while from now
If I'm not feeling any less sour
I promised myself to treat myself
And visit a nearby tower
And climbing to the top
Will throw myself off
In an effort to make it clear to whoever
What it's like when you're shattered
Left standing in the lurch, at a church
Where people saying
""My God that's tough, she stood him up
No point in us remaining
We may as well go home""
As I did on my own

[Refrain]
Alone again, naturally

[Verse 2]
To think that only yesterday
I was cheerful, bright and gay
Looking forward to, well who wouldn't do
The role I was about to play
But as if to knock me down
Reality came around
And without so much as a mere touch
Cut me into little pieces
Leaving me to doubt
Talk about God in His mercy
For if He really does exist
Why did He desert me
In my hour of need?
I truly am indeed
You might also like[Refrain]
Alone again, naturally

[Bridge]
It seems to me that
There are more hearts
Broken in the world
That can't be mended
Left unattended
What do we do?
What do we do?

[Classical Guitar Solo]

[Refrain]
Alone again, naturally

[Verse 3]
Now looking back over the years
And what ever else that appears
I remember I cried when my father died
Never wishing to hide the tears
And at sixty-five years old
My mother, God rest her soul
Couldn't understand, why the only man
She had ever loved had been taken
Leaving her to start with a heart
So badly broken
Despite encouragement from me
No words were ever spoken
And when she passed away
I cried and cried all day
[Refrain]
Alone again, naturally
Alone again, naturally23Embed"
3,Don McLean,American Pie,1972,57030,"233 ContributorsTranslationsPolskiAmerican Pie Lyrics[Intro]
A long, long time ago
I can still remember how that music
Used to make me smile
And I knew if I had my chance
That I could make those people dance
And maybe they'd be happy for a while
But February made me shiver
With every paper I'd deliver
Bad news on the doorstep
I couldn't take one more step
I can't remember if I cried
When I read about his widowed bride
Something touched me deep inside
The day the music died

[Chorus]
So, bye-bye, Miss American Pie
Drove my Chevy to the levee, but the levee was dry
And them good ol' boys were drinkin' whiskey and rye
Singin', ""This'll be the day that I die
This'll be the day that I die""

[Verse 1]
Did you write the book of love
And do you have faith in God above
If the Bible tells you so?
Now, do you believe in rock 'n' roll
Can music save your mortal soul
And can you teach me how to dance real slow?
Well, I know that you're in love with him
'Cause I saw you dancin' in the gym
You both kicked off your shoes
Man, I dig those rhythm and blues
I was a lonely teenage broncin' buck
With a pink carnation and a pickup truck
But I knew I was out of luck
The day the music died
You might also like[Chorus]
I started singin', bye-bye, Miss American Pie
Drove my Chevy to the levee, but the levee was dry
Them good ol' boys were drinkin' whiskey and rye
And singin', ""This'll be the day that I die
This'll be the day that I die""

[Verse 2]
Now, for ten years we've been on our own
And moss grows fat on a rollin' stone
But that's not how it used to be
When the jester sang for the king and queen
In a coat he borrowed from James Dean
And a voice that came from you and me
Oh, and while the king was looking down
The jester stole his thorny crown
The courtroom was adjourned
No verdict was returned
And while Lennon read a book on Marx
The quartet practiced in the park
And we sang dirges in the dark
The day the music died

[Chorus]
We were singin', bye-bye, Miss American Pie
Drove my Chevy to the levee, but the levee was dry
Them good ol' boys were drinkin' whiskey and rye
And singin', ""This'll be the day that I die
This'll be the day that I die""
[Verse 3]
Helter skelter in a summer swelter
The birds flew off with a fallout shelter
Eight miles high and fallin' fast
It landed foul on the grass
The players tried for a forward pass
With the jester on the sidelines in a cast
Now, the halftime air was sweet perfume
While sergeants played a marching tune
We all got up to dance
Oh, but we never got the chance
'Cause the players tried to take the field
The marching band refused to yield
Do you recall what was revealed
The day the music died?

[Chorus]
We started singin', bye-bye, Miss American Pie
Drove my Chevy to the levee, but the levee was dry
Them good ol' boys were drinkin' whiskey and rye
And singin', ""This'll be the day that I die
This'll be the day that I die""

[Verse 4]
Oh, and there we were all in one place
A generation lost in space
With no time left to start again
So, come on, Jack be nimble, Jack be quick
Jack Flash sat on a candlestick
'Cause fire is the Devil's only friend
Oh, and as I watched him on the stage
My hands were clenched in fists of rage
No angel born in Hell
Could break that Satan spell
And as the flames climbed high into the night
To light the sacrificial rite
I saw Satan laughing with delight
The day the music died
[Chorus]
He was singin', bye-bye, Miss American Pie
Drove my Chevy to the levee, but the levee was dry
Them good ol' boys were drinkin' whiskey and rye
And singin', ""This'll be the day that I die
This'll be the day that I die...""

[Bridge]
I met a girl who sang the blues
And I asked her for some happy news
But she just smiled and turned away
I went down to the sacred store
Where I'd heard the music years before
But the man there said the music wouldn't play
And in the streets, the children screamed
The lovers cried and the poets dreamed
But not a word was spoken
The church bells all were broken
And the three men I admire most
The Father, Son, and the Holy Ghost
They caught the last train for the coast
The day the music died
[Deleted Verse]
And there I stood alone and afraid
I dropped to my knees and there I prayed
And I promised Him everything I could give
If only He would make the music live
And He promised it would live once more
But this time one would equal four
And in five years four had come to mourn
And the music was reborn

[Chorus]
And they were singin', bye-bye, Miss American Pie
Drove my Chevy to the levee but the levee was dry
And them good ol' boys were drinkin' whiskey and rye
Singin', ""This'll be the day that I die
This'll be the day that I die""

[Outro]
They were singin', bye-bye, Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good ol' boys were drinkin' whiskey and rye
Singin', ""This'll be the day that I die""125Embed"
4,Harry Nilsson,Without You,1972,620555,"29 ContributorsWithout You Lyrics[Verse 1]
No, I can't forget this evening
Or your face as you were leaving
But I guess that's just the way the story goes
You always smile but in your eyes your sorrow shows
Yes, it shows

[Verse 2]
No, I can't forget tomorrow
When I think of all my sorrow
When I had you there but then I let you go
And now it's only fair that I should let you know
What you should know

[Chorus]
I can't live if living is without you
I can't live, I can't give anymore
I can't live if living is without you
I can't give, I can't give anymore

[Verse 1]
Well, I can't forget this evening
Or your face as you were leaving
But I guess that's just the way the story goes
You always smile but in your eyes your sorrow shows
Yes, it shows
You might also like[Chorus]
Can't live if living is without you
I can't live, I can't give anymore
I can't live if living is without you
I can't live, I can't give anymore

[Outro]
If living is without you...5Embed"
5,Sammy Davis Jr.,The Candy Man,1972,1373558,"13 ContributorsThe Candy Man Lyrics[Intro]
Candy Man, hey Candy Man
Alright everybody, gather around
The Candy Man is here
What kind of candy do you want?
Sweet chocolate? Chocolate walnut candy?
Gum drops? Anything you want
You've come to the right man because
I'm the Candy Man

[Verse 1]
Who can take a sunrise?
(Who can take a sunrise?)
Sprinkle it with dew
(Sprinkle it with dew)
Cover it with chocolate and a miracle or two

[Chorus]
The Candy Man (the candy man)
Oh the Candy Man can (the candy man can)
The Candy Man can 'cause he mixes it with love
And makes the world taste good
(Makes the world taste good)

[Verse 2]
Who can take a rainbow?
(Who can take a rainbow?)
Wrap it in a sigh
(Wrap it in a sigh)
Soak it in the sun and make a groovy lemon pie
You might also like[Chorus]
The Candy Man (the candy man)
Oh the Candy Man can (the candy man can)
The Candy Man can 'cause he mixes it with love
And makes the world taste good
(Makes the world taste good)

[Bridge]
The Candy Man makes everything he bakes
Satisfying and delicious
Now, you talk about your childhood wishes
You can even eat the dishes

[Verse 3]
Oh, who can take tomorrow?
(Who can take tomorrow?)
Dip it in a dream
(Dip it in a dream)
Separate the sorrow and collect up all the cream

[Chorus]
The Candy Man (the candy man)
Oh the Candy Man can (the candy man can)
The Candy Man can 'cause he mixes it with love
And makes the world taste good
(Makes the world taste good)
[Bridge]
The Candy Man makes everything he bakes
Satisfying and delicious
Talk about your childhood wishes
You can even eat the dishes

[Verse 4]
Yeah, yeah, yeah, who can take tomorrow?
(Who can take tomorrow?)
Dip it in a dream
(Dip it in a dream)
Separate the sorrow and collect up all the cream

[Chorus]
The Candy Man (the candy man)
The Candy Man can (the candy man can)
The Candy Man can 'cause he mixes it with love
And makes the world taste good
(Makes the world taste good)
Yes, the Candy Man can 'cause he mixes it with love
And makes the world taste good
(Makes the world taste good)

[Outro]
A candy man, a candy man, a candy man
(Makes the world taste good)
A candy man, a candy man, a candy man
(Makes the world taste good)
A candy man, a candy man, a candy man
(Makes the world taste good)1Embed"
6,Joe Tex,I Gotcha,1972,1535823,"5 ContributorsI Gotcha Lyrics[Chorus]
I gotcha!
Uh-huh, uh!
You thought you got away from me now, didn't ya?
Uh-huh, uh!
You thought I didn't see you now, didn't ya, uh!
Uh-huh, uh!
You tried to sneak by me now, didn't ya?
He-he-he-he!
Uh-huh, uh!
You thought you been slick now, didn't ya, uh!
Uh-huh, uh!
Now give me what you promised me, give it here
Come on!

[Bridge]
Good, uh
Hey!
Good god, hey!
Hey!

[Verse 1]
You promised me the day that you quit your boyfriend
I'd be the next one to ease on in
You promised me it would be just us two, yeah
And I'd be the only man kissin' on you, yeah
You might also like[Bridge]
Now kiss me!
Hold it a long time, hold it!
Don't turn it a-loose, now, hold it!
A little bit longer, now, hold it
Come on, hold it, uh!
Hold it, uh-huh!
Hold it, uh-huh!
Hold it!
Now ease up on me now
Good God, hey!
Good God, hey!
The girls alright, y'all, ha-ha!
Good God

[Verse 2]
You made me a promise and you're gonna stick to it
You shouldn't've promised if you weren't gon' do it
You saw me and ran in another direction
I'll teach you to play with my affection

[Bridge]
Now give it here!
You never should've promised to me, give it here!
Don't hold back now, give it here!
Don't say nothin', just give it here
Come on, give it here, uh!
Give it here, uh!
Give it here!
Give it here!
Give it to me now
Good God, hey!
[Chorus]
I gotcha!
Shouldn't've made a promise to me, I gotcha!
You never should've promised to me, gotcha!
Give it on here, I gotcha!
You thought you got away from me, didn't ya?
Good God, I gotcha, ha-ha-ha!
Oh, I gotcha!
Give it on up, I gotcha!
Give it on here, I gotcha!
You tried to sneak by me now, didn't ya?
Ha-ha, I gotcha!
Oh, I gotchaEmbed"
7,Bill Withers,Lean on Me,1972,51296,"35 ContributorsLean on Me Lyrics[Intro]
Hmm
Hmm hmm hmm hmm
Hmm hmm hmm hmm
Hmm hmm hmm hmm hmm

[Verse 1]
Sometimes in our lives, we all have pain
We all have sorrow
But if we are wise
We know that there's always tomorrow

[Chorus]
Lean on me when you're not strong
And I'll be your friend
I'll help you carry on
For it won't be long
'Til I'm gonna need
Somebody to lean on
[Verse 2]
Please swallow your pride
If I have things you need to borrow
For no one can fill
Those of your needs
That you won't let show
You might also like[Bridge]
You just call on me, brother, when you need a hand
We all need somebody to lean on
I just might have a problem that you'll understand
We all need somebody to lean on

[Chorus]
Lean on me when you're not strong
And I'll be your friend
I'll help you carry on
For it won't be long
'Til I'm gonna need
Somebody to lean on

[Bridge]
You just call on me, brother, when you need a hand
We all need somebody to lean on
I just might have a problem that you'll understand
We all need somebody to lean on

[Verse 3]
If there is a load you have to bear
That you can't carry
I'm right up the road
I'll share your load
If you just call me
[Outro]
(Call me) If you need a friend
(Call me) Call me, uhuh uhuh
(Call me) If you need a friend
(Call me)  If you ever need a friend
(Call me) Call me
(Call me) Call me
(Call me) Call me
(Call me) Call me
(Call me) If you need a friend
(Call me) Call me
(Call me) Call me
(Call me) Call me
(Call me) Call me
(Call me)32Embed"
8,Mac Davis,"Baby, Don't Get Hooked on Me",1972,624295,"7 ContributorsBaby, Don’t Get Hooked on Me Lyrics[Verse 1]
Girl, you're getting that look in your eyes
And it's starting to worry me
I ain't ready for no family ties
Nobody's gonna hurry me

Just keep it friendly, girl
Cause I don't wanna leave
Don't start clinging to me, girl
Cause I can't breathe

[Chorus]
Baby, baby, don't get hooked on me
Baby, baby, don't get hooked on me, oooh
Cause I'll just use you
Then I'll set you free
Baby, baby, don't get hooked on me

[Verse 2]
Girl, you're a hot-blooded woman-child
And it's warm where you're touching me
But I can tell by your trembling smile
You're seein' way too much in me

Girl, don't let your life get tangled up with mine
Cause I'll just leave you
I can't take no clinging vine
You might also like[Chorus]
Baby, baby, don't get hooked on me
Baby, baby, don't get hooked on me
Cause I'll just use you
Then I'll set you free
Baby, baby, don't get hooked on me
Baby, baby, don't get hooked on me
Baby, baby, don't get hooked on me
Cause I'll just use you
Then I'll set you free
Baby, baby, don't get hooked on me. oh
Baby, baby2Embed"
9,Melanie,Brand New Key,1972,154508,"17 ContributorsBrand New Key Lyrics[Verse 1]
I rode my bicycle past your window last night
I roller skated to your door at daylight
It almost seems like you're avoiding me
I'm okay alone but you got somethin' I need

[Chorus]
Well, I got a brand new pair of roller skates
You got a brand new key
I think that we should get together
And try them out to see
I've been lookin' around awhile
You got somethin' for me
Oh, I got a brand new pair of roller skates
You got a brand new key

[Verse 2]
I ride my bike, I roller skate, don't drive no car
Don't go too fast but I go pretty far
For somebody who don't drive
I've been all around the world
Some people say I done alright for a girl

[Bridge]
Oh, yeah, yeah
Oh, yeah-yeah-yeah
Oh, yeah-yeah-yeah
Oh, yeah, yeah, yeah
You might also like[Verse 3]
I asked your mother if you were at home
She said yes, but you weren't alone
Oh, sometimes I think that you're avoiding me
I'm okay alone but you got somethin' I need

[Chorus]
Well, I got a brand new pair of roller skates
You got a brand new key
I think that we should get together
And try them out to see
La-la, la-la-la, la-la-la-la
La-la, la-la-la, la
Oh, I got a brand new pair of roller skates
You got a brand new key5Embed"
10,Wayne Newton,Daddy Don't You Walk So Fast,1972,1083541,"4 ContributorsDaddy, Don’t You Walk So Fast LyricsThe love between the two of us was dying
And it got so bad I knew I had to leave
But halfway down that highway when I turned around I saw
My little daughter running after me
Crying

Daddy, don't you walk so fast
Daddy, don't you walk so fast
Daddy, slow down some 'cause you're makin' me run
Daddy, don't you walk so fast

Now, it broke my heart to tell my little daughter
That her daddy had to run to catch a train
She had no way of knowin' I was leavin' home for good
I turned around and there she was again
As she said to me

Daddy, don't you walk so fast
My daughter cried, daddy, don't you walk so fast
Daddy, slow down some 'cause you're makin' me run
Daddy, don't you walk so fast

If only for the sake of my sweet daughter
I just had to turn back home right there and then
And try to start a new life with the mother of my child
I couldn't bear to hear those words again
She cried and said
You might also likeDaddy, don't you walk so fast
My daughter cried, daddy, don't you walk so fast
Daddy, slow down some 'cause you're makin' me run
Oh, daddy, don't you walk so fast

(Daddy, don't you walk so fast)
My daughter cried (Daddy, don't you walk so fast)
Daddy, slow down some 'cause you're makin' me runEmbed"
