band_singer,ranking,song,title,genre,year
Natasha Bedingfield,18,Pocketful of Sunshine,Pocketful of Sunshine,['Pop'],2008
Chris Brown,19,Kiss Kiss,Kiss Kiss,['Hip hopR&B'],2008
Ne-Yo,20,Closer,Closer,"['Dance-pop', 'R&B', 'house']",2008
Colbie Caillat,21,Bubbly,Bubbly,[],2008
Mariah Carey,22,Touch My Body,Touch My Body,['PopR&B'],2008
Madonna,23,4 Minutes,4 Minutes,['Dance-pop'],2008
Pink,24,So What,So What,"['Pop rock', 'glam rock', 'electronic rock']",2008
Finger Eleven,25,Paralyzer,Paralyzer,"['Alternative rock', 'funk rock', 'dance-rock']",2008
Fergie,26,Clumsy,Clumsy,"['Pop', 'bubblegum pop', 'R&B']",2008
Jason Mraz,27,"[""I'm Yours""]",I'm Yours,['Reggae'],2008
Jesse McCartney,28,"[""Leavin'""]",Leavin',['Pop'],2008
Kardinal Offishall,29,Dangerous,Dangerous,['Hip hop'],2008
Jordin Sparks,30,Tattoo,Tattoo,['PopR&B'],2008
Miley Cyrus,31,See You Again,See You Again,['Dance-rock'],2008
Metro Station,32,Shake It,Shake It,"['Neon pop punk', 'emo']",2008
OneRepublic,33,Stop and Stare,Stop and Stare,['Pop rock'],2008
Sean Kingston,34,Take You There,Take You There,['R&Bsynthpop'],2008
M.I.A.,35,Paper Planes,Paper Planes,['Alternative hip hop'],2008
Katy Perry,36,Hot n Cold,Hot n Cold,"['Pop', 'dance-pop']",2008
T.I.,37,Live Your Life,Live Your Life,['Hip hopR&Bpop'],2008
Plies,38,Bust It Baby (Part 2),Bust It Baby (Part 2),['Hip hoppop-rapR&B'],2008
Estelle,39,American Boy,American Boy,['R&Bdisco-funk'],2008
Lil Wayne,40,Got Money,Got Money,[],2008
Taylor Swift,41,Our Song,Our Song,['Country'],2008
Danity Kane,42,Damaged,Damaged,[],2008
Lil Wayne,43,A Milli,A Milli,['Hip hop'],2008
Buckcherry,44,Sorry,Sorry,[],2008
Webbie,45,Independent,Independent,['Hip hop'],2008
T-Pain,46,"[""Can't Believe It""]",Can't Believe It,['R&Bhip hopsnap'],2008
Alicia Keys,47,"[""Like You'll Never See Me Again""]",Like You'll Never See Me Again,['SoulR&B'],2008
Taylor Swift,48,Teardrops on My Guitar,Teardrops on My Guitar,"['Country pop', 'soft rock']",2008
Pussycat Dolls,49,When I Grow Up,When I Grow Up,"['Electropop', 'R&B']",2008
Snoop Dogg,50,Sexual Eruption,Sexual Eruption,['Crunk'],2008
"Donis"", ",51,What You Got,What You Got,['R&B electropop'],2008
3 Doors Down,52,"[""It's Not My Time""]",It's Not My Time,[],2008
Leona Lewis,53,Better in Time,Better in Time,"['Pop', 'R&B']",2008
"[""Soulja Boy Tell 'Em""]",54,Crank That (Soulja Boy),Crank That (Soulja Boy),"['Pop-rap', 'snap']",2008
Linkin Park,55,Shadow of the Day,Shadow of the Day,"['Alternative rock', 'electronic rock']",2008
Wyclef Jean,56,Sweetest Girl (Dollar Bill),Sweetest Girl (Dollar Bill),"['R&B', 'hip hop', 'reggae fusion']",2008
Ne-Yo,57,Miss Independent,Miss Independent,['Synth-popR&B'],2008
Secondhand Serenade,58,Fall for You,Fall for You,['Emo'],2008
Flo Rida,59,In the Ayer,In the Ayer,"['Hip hop', 'R&B']",2008
John Mayer,60,Say,Say,[],2008
Jordin Sparks,61,One Step at a Time,One Step at a Time,['PopR&B'],2008
Rihanna,62,Hate That I Love You,Hate That I Love You,['R&B'],2008
Lupe Fiasco,63,Superstar,Superstar,['Hip hop'],2008
J. Holiday,64,Suffocate,Suffocate,['R&B'],2008
Kevin Rudolf,65,Let It Rock,Let It Rock,"['Electropop', 'rap rock']",2008
David Banner,66,Get Like Me,Get Like Me,['Hip hopsouthern rap'],2008
Colbie Caillat,67,Realize,Realize,[],2008
Young Jeezy,68,Put On,Put On,"['Gangsta rap', 'southern hip hop']",2008
David Cook,69,The Time of My Life,The Time of My Life,['Pop rock'],2008
Three 6 Mafia,70,Lolli Lolli (Pop That Body),Lolli Lolli (Pop That Body),"['Pop rap', 'dance-pop', 'electropop']",2008
Baby Bash,71,Cyclone,Cyclone,['Crunk'],2008
Natasha Bedingfield,72,Love Like This,Love Like This,['PopreggaeR&B'],2008
Jonas Brothers,73,"[""Burnin' Up""]",Burnin' Up,['Pop rockteen poppower pop'],2008
Kanye West,74,Love Lockdown,Love Lockdown,['Electropop'],2008
The-Dream,75,I Luv Your Girl,I Luv Your Girl,"['R&B', 'Hip Hop']",2008
David Archuleta,76,Crush,Crush,"['Pop', 'R&B']",2008
Plies,77,Hypnotized,Hypnotized,['Dirty rap'],2008
Fergie,78,"[""Big Girls Don't Cry""]",Big Girls Don't Cry,['Pop'],2008
Kanye West,79,Good Life,Good Life,['Pop rap'],2008
Britney Spears,80,Womanizer,Womanizer,['Electropopdance-pop'],2008
Taylor Swift,81,Love Story,Love Story,['Country pop'],2008
Mary J. Blige,82,Just Fine,Just Fine,[],2008
Britney Spears,83,Piece of Me,Piece of Me,['Electropopdance-popEDM-pop'],2008
Rick Ross,84,The Boss,The Boss,"['Hip hop', 'mafioso rap', 'R&B']",2008
Kid Rock,85,All Summer Long,All Summer Long,['Country rock'],2008
Trey Songz,86,"[""Can't Help but Wait""]",Can't Help but Wait,['R&B'],2008
Gavin DeGraw,87,In Love with a Girl,In Love with a Girl,['Pop rock'],2008
The Game,88,My Life,My Life,['Hip hopconscious hip hop'],2008
Keyshia Cole,89,I Remember,I Remember,['R&B'],2008
Kanye West,90,Flashing Lights,Flashing Lights,['Hip hopelectro-R&Bneo soul'],2008
Lil Wayne,91,Mrs. Officer,Mrs. Officer,"['Dirty rap', 'R&B']",2008
Miley Cyrus,92,7 Things,7 Things,['Pop-punk'],2008
Trace Adkins,93,"[""You're Gonna Miss This""]",You're Gonna Miss This,['Country'],2008
Gavin Rossdale,94,Love Remains the Same,Love Remains the Same,['Soft rock'],2008
Daughtry,95,Feels Like Tonight,Feels Like Tonight,['Alternative rockpop rock'],2008
Timbaland,96,The Way I Are,The Way I Are,['Electrohop'],2008
Saving Abel,97,Addicted,Addicted,"['Hard rock', 'post-grunge']",2008
Santana,98,Into the Night,Into the Night,['Chicano rock'],2008
Keyshia Cole,99,Heaven Sent,Heaven Sent,['R&B'],2008
2 Pistols,100,She Got It,She Got It,[],2008
The Black Eyed Peas,1,Boom Boom Pow,Boom Boom Pow,"['EDM', 'dance-pop']",2009
Lady Gaga,2,Poker Face,Poker Face,"['Synth-pop', 'dance-pop']",2009
Lady Gaga,3,Just Dance,Just Dance,"['Electropop', 'synth-pop', 'dance-pop']",2009
The Black Eyed Peas,4,I Gotta Feeling,I Gotta Feeling,['Dance-pop'],2009
Taylor Swift,5,Love Story,Love Story,['Country pop'],2009
Flo Rida,6,Right Round,Right Round,"['Pop rap', 'EDM']",2009
Jason Mraz,7,"[""I'm Yours""]",I'm Yours,['Reggae'],2009
Beyoncé,8,Single Ladies (Put a Ring on It),Single Ladies (Put a Ring on It),"['Dance-pop', 'bounce', 'R&B']",2009
Kanye West,9,Heartless,Heartless,['Pop'],2009
The All-American Rejects,10,Gives You Hell,Gives You Hell,"['Pop punk', 'pop rock', 'power pop']",2009
Taylor Swift,11,You Belong with Me,You Belong with Me,"['Country pop', 'power pop']",2009
T.I.,12,Dead and Gone,Dead and Gone,['Hip hop'],2009
The Fray,13,You Found Me,You Found Me,['Alternative rock'],2009
Kings of Leon,14,Use Somebody,Use Somebody,"['Alternative rock', 'pop rock']",2009
Keri Hilson,15,Knock You Down,Knock You Down,"['R&B', 'hip hop']",2009
Jamie Foxx,16,Blame It,Blame It,['R&Belectro-hophip hop'],2009
Pitbull,17,I Know You Want Me (Calle Ocho),I Know You Want Me (Calle Ocho),['Hip hop'],2009
T.I.,18,Live Your Life,Live Your Life,['Hip hopR&Bpop'],2009
"Em"", ",19,Kiss Me thru the Phone,Kiss Me thru the Phone,"['Pop rap', 'R&B']",2009
Jay Sean,20,Down,Down,['ElectropopR&B'],2009
Miley Cyrus,21,The Climb,The Climb,"['Country pop', 'country rock']",2009
Drake,22,Best I Ever Had,Best I Ever Had,"['Hip hop', 'R&B']",2009
Kelly Clarkson,23,My Life Would Suck Without You,My Life Would Suck Without You,['Poppower poppop rock'],2009
Beyoncé,24,Halo,Halo,"['Pop', 'R&B']",2009
Katy Perry,25,Hot n Cold,Hot n Cold,"['Pop', 'dance-pop']",2009
Shinedown,26,Second Chance,Second Chance,"['Alternative rock', 'hard rock']",2009
Britney Spears,27,Circus,Circus,['Electropopdance-pop'],2009
Kid Cudi,28,n,Day 'n' Nite,"['Hip hop', 'pop']",2009
Miley Cyrus,29,Party in the U.S.A.,Party in the U.S.A.,['Pop'],2009
3OH!3,30,"[""Don't Trust Me""]",Don't Trust Me,"['Electronic rock', 'alternative rock', 'pop rock', 'electropop']",2009
Jay-Z,31,Run This Town,Run This Town,['Hip hop'],2009
Kevin Rudolf,32,Let It Rock,Let It Rock,"['Electropop', 'rap rock']",2009
Sean Kingston,33,Fire Burning,Fire Burning,['Electropopdance-pop'],2009
Jason Derulo,34,Whatcha Say,Whatcha Say,"['Pop', 'R&B']",2009
Lady Gaga,35,LoveGame,LoveGame,"['Synth-pop', 'electro', 'R&B']",2009
Katy Perry,36,Waking Up in Vegas,Waking Up in Vegas,"['Pop rock', 'power pop']",2009
Jeremih,37,Birthday Sex,Birthday Sex,['R&B'],2009
Pink,38,Sober,Sober,"['Power pop', 'rock']",2009
Britney Spears,39,Womanizer,Womanizer,['Electropopdance-pop'],2009
T.I.,40,Whatever You Like,Whatever You Like,['Pop-rap'],2009
Mariah Carey,41,Obsessed,Obsessed,"['Hip hop', 'R&B']",2009
Ne-Yo,42,Mad,Mad,['PopR&B'],2009
Cobra Starship,43,Good Girls Go Bad,Good Girls Go Bad,['Dance-pop'],2009
Kanye West,44,Love Lockdown,Love Lockdown,['Electropop'],2009
Pink,45,So What,So What,"['Pop rock', 'glam rock', 'electronic rock']",2009
Pitbull,46,Hotel Room Service,Hotel Room Service,[],2009
Eminem,47,Crack a Bottle,Crack a Bottle,['Hip hop'],2009
Beyoncé,48,If I Were a Boy,If I Were a Boy,['PopR&B'],2009
Keri Hilson,49,Turnin Me On,Turnin Me On,['R&B'],2009
Pussycat Dolls,50,I Hate This Part,I Hate This Part,['Pop'],2009
Nickelback,51,Gotta Be Somebody,Gotta Be Somebody,"['Pop rock', 'alternative rock']",2009
Pink,52,"[""Please Don't Leave Me""]",Please Don't Leave Me,['Pop'],2009
Lady Gaga,53,Paparazzi,Paparazzi,"['Synth-pop', 'dance-pop']",2009
Akon,54,Beautiful,Beautiful,['Dance-pop'],2009
Coldplay,55,Viva la Vida,Viva la Vida,"['Baroque pop', 'orchestral pop', 'art rock']",2009
Akon,56,Right Now (Na Na Na),Right Now (Na Na Na),['Electronicore'],2009
Jordin Sparks,57,Battlefield,Battlefield,"['Pop', 'R&B']",2009
Flo Rida,58,Sugar,Sugar,"['Electropop', 'hip hop', 'R&B']",2009
Ne-Yo,59,Miss Independent,Miss Independent,['Synth-popR&B'],2009
Owl City,60,Fireflies,Fireflies,"['Synth-pop', 'indie pop']",2009
Linkin Park,61,New Divide,New Divide,"['Alternative rock', 'electronic rock']",2009
Jay-Z,62,Empire State of Mind,Empire State of Mind,['Hip hop'],2009
Daughtry,63,No Surprise,No Surprise,"['Alternative rock', 'pop rock']",2009
Shakira,64,She Wolf,She Wolf,"['Hi-NRG', 'Italo disco', 'electropop', 'synth-pop']",2009
Mario,65,Break Up,Break Up,[],2009
Beyoncé,66,Sweet Dreams,Sweet Dreams,['Electropop'],2009
Young Money,67,Every Girl,Every Girl,['Dirty rap electro pop'],2009
Colbie Caillat,68,"[""Fallin' for You""]",Fallin' for You,[],2009
The Veronicas,69,Untouched,Untouched,"['Electropop', 'power pop']",2009
Nickelback,70,If Today Was Your Last Day,If Today Was Your Last Day,['Post-grunge'],2009
Fabolous,71,Throw It in the Bag,Throw It in the Bag,['Hip hopR&B'],2009
Boys Like Girls,72,Love Drunk,Love Drunk,['Pop punk'],2009
Asher Roth,73,I Love College,I Love College,['Pop raphip hop'],2009
Britney Spears,74,If U Seek Amy,If U Seek Amy,"['Dance-pop', 'electropop']",2009
Jason Aldean,75,Big Green Tractor,Big Green Tractor,['Country'],2009
Taylor Swift,76,White Horse,White Horse,['Country pop'],2009
Rihanna,77,Disturbia,Disturbia,"['Dance-pop', 'electropop']",2009
Green Day,78,21 Guns,21 Guns,"['Arena rock', 'pop punk', 'power pop']",2009
"[""Soulja Boy Tell 'Em""]",79,Turn My Swag On,Turn My Swag On,[],2009
The-Dream,80,"[""Rockin' That Thang""]",Rockin' That Thang,['R&B'],2009
Zac Brown Band,81,Chicken Fried,Chicken Fried,['Country'],2009
Beyoncé,82,Diva,Diva,['R&Bhip hop'],2009
Iyaz,83,Replay,Replay,"['Electro-R&B', 'dance-pop']",2009
Brad Paisley,84,Then,Then,['Country'],2009
Rob Thomas,85,Her Diamonds,Her Diamonds,['Pop rock'],2009
Jesse McCartney,86,How Do You Sleep?,How Do You Sleep?,['Dance popR&Belectropop'],2009
Britney Spears,87,3,3,['Electropop'],2009
Drake,88,Forever,Forever,['Hip hop'],2009
Justin Bieber,89,One Time,One Time,"['Teen pop', 'pop-soul']",2009
Lady Antebellum,90,I Run to You,I Run to You,['Country pop'],2009
Kelly Clarkson,91,I Do Not Hook Up,I Do Not Hook Up,['Dance-rockpower pop'],2009
John Legend,92,Green Light,Green Light,"['R&B', 'funk', 'electro']",2009
Billy Currington,93,People Are Crazy,People Are Crazy,['Country'],2009
Zac Brown Band,94,Whatever It Is,Whatever It Is,['Country'],2009
Kelly Clarkson,95,Already Gone,Already Gone,['Pop'],2009
Kristinia DeBarge,96,Goodbye,Goodbye,"['Dance-pop', 'electropop']",2009
Michael Franti & Spearhead,97,Say Hey (I Love You),Say Hey (I Love You),['Dancehall'],2009
Jim Jones,98,Pop Champagne,Pop Champagne,['Hip hop'],2009
Maxwell,99,Pretty Wings,Pretty Wings,"['R&B', 'neo soul']",2009
The Fray,100,Never Say Never,Never Say Never,"['Alternative rock', 'pop rock']",2009
Kesha,1,Tik Tok,Tik Tok,['Dance-popelectropop'],2010
Lady Antebellum,2,Need You Now,Need You Now,['Country'],2010
Train,3,"Hey, Soul Sister","Hey, Soul Sister",['Pop rock'],2010
Katy Perry,4,California Gurls,California Gurls,"['Bubblegum pop', 'disco-pop', 'funk-pop']",2010
Usher,5,OMG,OMG,"['Dance-pop', 'electropop', 'R&B']",2010
B.o.B,6,Airplanes,Airplanes,"['Hip hop', 'rap rock']",2010
Eminem,7,Love the Way You Lie,Love the Way You Lie,['Pop-rap'],2010
Lady Gaga,8,Bad Romance,Bad Romance,"['Electropop', 'dance-pop']",2010
Taio Cruz,9,Dynamite,Dynamite,['ElectropopR&B'],2010
Taio Cruz,10,Break Your Heart,Break Your Heart,['Electropopdance-pop'],2010
B.o.B,11,"[""Nothin' on You""]",Nothin' on You,"['Pop rap', 'R&B', 'Southern hip hop']",2010
Enrique Iglesias,12,I Like It,I Like It,['Electropop'],2010
Young Money,13,BedRock,BedRock,"['Hip hop', 'dirty rap']",2010
Jason Derulo,14,In My Head,In My Head,['Dance-poppop rockR&B'],2010
Rihanna,15,Rude Boy,Rude Boy,"['Reggae', 'electro-R&B']",2010
Lady Gaga,16,Telephone,Telephone,['Dance-pop'],2010
Katy Perry,17,Teenage Dream,Teenage Dream,"['Electropop', 'power pop']",2010
Bruno Mars,18,Just the Way You Are,Just the Way You Are,"['Pop', 'soft rock', 'R&B']",2010
Mike Posner,19,Cooler Than Me,Cooler Than Me,['Electropop'],2010
The Black Eyed Peas,20,Imma Be,Imma Be,['Hip hopEDM'],2010
Jay-Z,21,Empire State of Mind,Empire State of Mind,['Hip hop'],2010
Usher,22,"[""DJ Got Us Fallin' in Love""]",DJ Got Us Fallin' in Love,['Dance-popEuropop'],2010
Travie McCoy,23,Billionaire,Billionaire,"['Pop rap', 'reggae']",2010
Eminem,24,Not Afraid,Not Afraid,['Hip hop'],2010
Iyaz,25,Replay,Replay,"['Electro-R&B', 'dance-pop']",2010
David Guetta,26,Sexy Bitch,Sexy Bitch,['Electro-hop'],2010
The Script,27,Breakeven,Breakeven,['Pop rock'],2010
Kesha,28,Your Love Is My Drug,Your Love Is My Drug,['Dance-pop'],2010
The Black Eyed Peas,29,I Gotta Feeling,I Gotta Feeling,['Dance-pop'],2010
Owl City,30,Fireflies,Fireflies,"['Synth-pop', 'indie pop']",2010
Trey Songz,31,Say Aah,Say Aah,"['Pop-rap', 'R&B', 'crunk&B']",2010
Drake,32,Find Your Love,Find Your Love,['R&B'],2010
Lady Gaga,33,Alejandro,Alejandro,"['Synth-pop', 'Europop']",2010
Jason Derulo,34,"[""Ridin' Solo""]",Ridin' Solo,"['Electropop', 'R&B']",2010
Nelly,35,Just a Dream,Just a Dream,['Pop rapR&B'],2010
Ludacris,36,How Low,How Low,['Hip hop'],2010
Far East Movement,37,Like a G6,Like a G6,['Electro househip houseelectro-hop'],2010
Timbaland,38,Carry Out,Carry Out,['Hip hopCrunk&B'],2010
Michael Bublé,39,"[""Haven't Met You Yet""]",Haven't Met You Yet,['Pop rockswing'],2010
Flo Rida,40,"[""Club Can't Handle Me""]",Club Can't Handle Me,['Hip house'],2010
Jay Sean,41,Down,Down,['ElectropopR&B'],2010
La Roux,42,Bulletproof,Bulletproof,"['Electropop', 'synth-pop', 'bitpop']",2010
Jason Derulo,43,Whatcha Say,Whatcha Say,"['Pop', 'R&B']",2010
Justin Bieber,44,Baby,Baby,['Teen pop'],2010
Adam Lambert,45,Whataya Want from Me,Whataya Want from Me,['Pop rock'],2010
Taylor Swift,46,Mine,Mine,"['Country pop', 'pop rock']",2010
Rihanna,47,Only Girl (In the World),Only Girl (In the World),['Dance-popEurodance'],2010
Kris Allen,48,"[""Live Like We're Dying""]",Live Like We're Dying,['Pop rock'],2010
Rihanna,49,Hard,Hard,['Hip hop'],2010
Jay-Z,50,Young Forever,Young Forever,['Alternative hip hop'],2010
Kesha,51,Blah Blah Blah,Blah Blah Blah,['Electropopdance-pop'],2010
Trey Songz,52,Bottoms Up,Bottoms Up,['Hip hopR&B'],2010
Jay Sean,53,Do You Remember,Do You Remember,[],2010
OneRepublic,54,All the Right Moves,All the Right Moves,['Pop rock'],2010
Orianthi,55,According to You,According to You,['Pop rockpop-punk'],2010
Ludacris,56,My Chick Bad,My Chick Bad,"['Hip hop', 'crunk hyphy']",2010
Taylor Swift,57,You Belong with Me,You Belong with Me,"['Country pop', 'power pop']",2010
The Black Eyed Peas,58,Meet Me Halfway,Meet Me Halfway,['Dance-poppop rap'],2010
Kesha,59,Take It Off,Take It Off,"['Dubstep', 'electro', 'dance-pop', 'EDM']",2010
Drake,60,Over,Over,['Hip hop'],2010
Neon Trees,61,Animal,Animal,['Alternative rockpop rockpop-punk'],2010
Maroon 5,62,Misery,Misery,"['Funk rock', 'funk-pop']",2010
B.o.B,63,Magic,Magic,"['Pop rap', 'pop punk', 'electropop']",2010
Lady Gaga,64,Paparazzi,Paparazzi,"['Synth-pop', 'dance-pop']",2010
New Boyz,65,Tie Me Down,Tie Me Down,['R&B Snap hyphy'],2010
Nicki Minaj,66,Your Love,Your Love,['R&B'],2010
Miley Cyrus,67,Party in the U.S.A.,Party in the U.S.A.,['Pop'],2010
Chris Brown,68,Deuces,Deuces,['Pop-rapHip house'],2010
Britney Spears,69,3,3,['Electropop'],2010
Shontelle,70,Impossible,Impossible,['Popsynth-popR&B'],2010
Drake,71,Forever,Forever,['Hip hop'],2010
Boys Like Girls,72,Two Is Better Than One,Two Is Better Than One,['Pop rock'],2010
3OH!3,73,My First Kiss,My First Kiss,"['Dance-pop', 'electropop', 'pop-rap']",2010
Kelly Clarkson,74,Already Gone,Already Gone,['Pop'],2010
The Black Eyed Peas,75,Rock That Body,Rock That Body,['House'],2010
OneRepublic,76,Secrets,Secrets,"['Pop rock', 'cello rock']",2010
Selena Gomez & the Scene,77,Naturally,Naturally,['Dance-popelectropop'],2010
Alicia Keys,78,"[""Un-Thinkable (I'm Ready)""]",Un-Thinkable (I'm Ready),['R&Bdowntempo'],2010
DJ Khaled,79,All I Do Is Win,All I Do Is Win,['Hip hop'],2010
Kevin Rudolf,80,I Made It (Cash Money Heroes),I Made It (Cash Money Heroes),"['Rap rock', 'metal rap', 'rock and roll', 'arena rock', 'hard rock']",2010
Sugarland,81,Stuck Like Glue,Stuck Like Glue,"['Country', 'country pop', 'reggae fusion']",2010
Usher,82,"[""Hey Daddy (Daddy's Home)""]",Hey Daddy (Daddy's Home),['R&B'],2010
Usher,83,There Goes My Baby,There Goes My Baby,['R&B'],2010
Taylor Swift,84,Today Was a Fairytale,Today Was a Fairytale,['Country pop'],2010
Timbaland,85,Say Something,Say Something,['Hip hoppopelectronicR&B'],2010
Beyoncé,86,Sweet Dreams,Sweet Dreams,['Electropop'],2010
Kings of Leon,87,Use Somebody,Use Somebody,"['Alternative rock', 'pop rock']",2010
Carrie Underwood,88,Undo It,Undo It,['Country pop'],2010
Sean Kingston,89,Eenie Meenie,Eenie Meenie,['Dance-pop'],2010
Lil Wayne,90,Right Above It,Right Above It,['Hip hop'],2010
Miranda Lambert,91,The House That Built Me,The House That Built Me,['Country'],2010
The Band Perry,92,If I Die Young,If I Die Young,"['Country', 'bluegrass']",2010
Paramore,93,The Only Exception,The Only Exception,"['Soft rock', 'folk rock', 'emo']",2010
Lady Antebellum,94,American Honey,American Honey,['Country'],2010
Sara Bareilles,95,King of Anything,King of Anything,['Pop rock'],2010
Daughtry,96,Life After You,Life After You,['Pop rock'],2010
Uncle Kracker,97,Smile,Smile,"['Pop rock', 'country pop']",2010
Cali Swag District,98,Teach Me How to Dougie,Teach Me How to Dougie,"['Pop-rap', 'dance-rap']",2010
Alicia Keys,99,Try Sleeping with a Broken Heart,Try Sleeping with a Broken Heart,['R&Bdowntempo'],2010
Jerrod Niemann,100,"Lover, Lover","Lover, Lover",['Country'],2010
Adele,1,Rolling in the Deep,Rolling in the Deep,['Rhythm and bluessoul'],2011
LMFAO,2,Party Rock Anthem,Party Rock Anthem,"['Electropop', 'dance-pop', 'electro', 'electroclash', 'synth-pop', 'EDM']",2011
Katy Perry,3,Firework,Firework,['Dance-pop'],2011
Katy Perry,4,E.T.,E.T.,"['Electronic', 'hip hop']",2011
Pitbull,5,Give Me Everything,Give Me Everything,"['Hip house', 'pop rap', 'EDM']",2011
Bruno Mars,6,Grenade,Grenade,"['Pop', 'power pop']",2011
CeeLo Green,7,F**K You (Forget You),F**K You (Forget You),"['Soul', 'funk', 'pop']",2011
Nicki Minaj,8,Super Bass,Super Bass,"['Bubblegum pop', 'pop rap']",2011
Maroon 5,9,Moves like Jagger,Moves like Jagger,"['Nu-disco', 'electropop']",2011
The Black Eyed Peas,10,"[""Just Can't Get Enough""]",Just Can't Get Enough,"['Electropop', 'EDM']",2011
Jennifer Lopez,11,On the Floor,On the Floor,"['Dance-pop', 'Latin', 'pop', 'house', 'techno']",2011
Rihanna,12,S&M,S&M,['Dance-pophi-NRGEurodance'],2011
Foster the People,13,Pumped Up Kicks,Pumped Up Kicks,['Indie pop'],2011
Katy Perry,14,Last Friday Night (T.G.I.F.),Last Friday Night (T.G.I.F.),['Dance-pop'],2011
Bruno Mars,15,Just the Way You Are,Just the Way You Are,"['Pop', 'soft rock', 'R&B']",2011
Enrique Iglesias,16,m Lovin,Tonight (I'm Lovin' You),['Dance'],2011
Pink,17,Raise Your Glass,Raise Your Glass,['Pop rock'],2011
Lady Gaga,18,Born This Way,Born This Way,['Electropop'],2011
Pink,19,"[""F**kin' Perfect""]",F**kin' Perfect,['Pop rocksoft rockR&B'],2011
Rihanna,20,"[""What's My Name?""]",What's My Name?,"['Electro-R&B', 'dancehall']",2011
Chris Brown,21,Look at Me Now,Look at Me Now,['Hip hop'],2011
Jeremih,22,Down on Me,Down on Me,['Electro-R&Bdirty rap'],2011
Lil Wayne,23,How to Love,How to Love,"['Hip hop soul', 'R&B', 'progressive rap']",2011
Adele,24,Someone Like You,Someone Like You,['Pop'],2011
OneRepublic,25,Good Life,Good Life,['Pop rock'],2011
Bruno Mars,26,The Lazy Song,The Lazy Song,"['Reggae', 'reggae-pop', 'ska']",2011
Britney Spears,27,Till the World Ends,Till the World Ends,"['Dance-pop', 'electropop', 'Eurodance', '']",2011
Lupe Fiasco,28,The Show Goes On,The Show Goes On,['Hip hoppop'],2011
Lady Gaga,29,The Edge of Glory,The Edge of Glory,"['Pop', 'electro-rock', 'disco']",2011
Kesha,30,We R Who We R,We R Who We R,['Dance-pop'],2011
Wiz Khalifa,31,Black and Yellow,Black and Yellow,['Hip hop'],2011
Hot Chelle Rae,32,Tonight Tonight,Tonight Tonight,"['Pop rock', 'dance-rock']",2011
Kesha,33,Blow,Blow,['Electropopdance-pop'],2011
Bad Meets Evil,34,Lighters,Lighters,['Alternative hip hop'],2011
The Band Perry,35,If I Die Young,If I Die Young,"['Country', 'bluegrass']",2011
Gym Class Heroes,36,Stereo Hearts,Stereo Hearts,[],2011
The Black Eyed Peas,37,The Time (Dirty Bit),The Time (Dirty Bit),"['electro house', 'hip hop', 'R&B']",2011
Diddy – Dirty Money,38,Coming Home,Coming Home,"['Hip hop', 'pop']",2011
Pitbull,39,Hey Baby (Drop It to the Floor),Hey Baby (Drop It to the Floor),"['Hip house', 'electro house']",2011
Rihanna,40,Only Girl (In the World),Only Girl (In the World),['Dance-popEurodance'],2011
Lil Wayne,41,6 Foot 7 Foot,6 Foot 7 Foot,['Hip hop'],2011
Lady Antebellum,42,Just a Kiss,Just a Kiss,['Countrycountry pop'],2011
Jason Aldean,43,Dirt Road Anthem,Dirt Road Anthem,['Country rap'],2011
Taio Cruz,44,Dynamite,Dynamite,['ElectropopR&B'],2011
Waka Flocka Flame,45,No Hands,No Hands,['Southern hip hop'],2011
Britney Spears,46,I Wanna Go,I Wanna Go,"['Dance-pop', 'Hi-NRG']",2011
DJ Khaled,47,"[""I'm on One""]",I'm on One,['Hip hoptrap'],2011
Cobra Starship,48,You Make Me Feel...,You Make Me Feel...,"['Dance-pop', 'electropop']",2011
Chris Brown,49,Yeah 3x,Yeah 3x,['Dance-popEuropopelectro house'],2011
Nicki Minaj,50,Moment 4 Life,Moment 4 Life,"['Hip hop', 'R&B']",2011
Dr. Dre,51,I Need a Doctor,I Need a Doctor,['Hip hop'],2011
Nelly,52,Just a Dream,Just a Dream,['Pop rapR&B'],2011
Kelly Rowland,53,Motivation,Motivation,['R&Belectropop'],2011
Edward Maya,54,Stereo Love,Stereo Love,['House'],2011
Christina Perri,55,Jar of Hearts,Jar of Hearts,['Pop'],2011
Wiz Khalifa,56,Roll Up,Roll Up,['Pop-rap'],2011
LMFAO,57,Sexy and I Know It,Sexy and I Know It,"['Electropop', 'dance']",2011
Far East Movement,58,Rocketeer,Rocketeer,['Pop-rap'],2011
Kanye West,59,All of the Lights,All of the Lights,['Hip hoppop'],2011
Britney Spears,60,Hold It Against Me,Hold It Against Me,['Dance-pop'],2011
Usher,61,More,More,['Hi-NRG'],2011
Avril Lavigne,62,What the Hell,What the Hell,['Bubblegum poppop punksynth-pop'],2011
Tinie Tempah,63,Written in the Stars,Written in the Stars,"['Pop', 'pop-rap', 'rap rock']",2011
Trey Songz,64,Bottoms Up,Bottoms Up,['Hip hopR&B'],2011
Usher,65,"[""DJ Got Us Fallin' in Love""]",DJ Got Us Fallin' in Love,['Dance-popEuropop'],2011
The Script,66,For the First Time,For the First Time,['Pop rock'],2011
Blake Shelton,67,Honey Bee,Honey Bee,['Country'],2011
Jason Aldean,68,"[""Don't You Wanna Stay""]",Don't You Wanna Stay,['Country pop'],2011
