band_singer,ranking,song,title,genre,year
The Mar-Keys,15,Last Night,Last Night,"['R&B', 'instrumental rock']",1961
The Shirelles,16,Will You Love Me Tomorrow,Will You Love Me Tomorrow,['Brill Building'],1961
Ferrante & Teicher,17,"""Exodus""","""Exodus""",[],1961
Connie Francis,18,Where the Boys Are,Where the Boys Are,['Traditional pop'],1961
Ray Charles,19,Hit the Road Jack,Hit the Road Jack,['Rhythm and blues'],1961
Sue Thompson,20,Sad Movies (Make Me Cry),Sad Movies (Make Me Cry),"['Pop', 'Easy listening']",1961
Ernie K-Doe,21,Mother-in-Law,Mother-in-Law,['R&B'],1961
The Dovells,22,Bristol Stomp,Bristol Stomp,['Doo-wop'],1961
Ricky Nelson,23,"[""Travelin' Man""]",Travelin' Man,['Pop'],1961
The Miracles,24,Shop Around,Shop Around,['Soul'],1961
Brook Benton,25,The Boll Weevil Song,The Boll Weevil Song,['Delta blues'],1961
Gene McDaniels,26,A Hundred Pounds of Clay,A Hundred Pounds of Clay,['Soul'],1961
Dick and Dee Dee,27,"[""The Mountain's High""]",The Mountain's High,['Rock and roll'],1961
Marty Robbins,28,"[""Don't Worry""]",Don't Worry,['Country'],1961
Floyd Cramer,29,On the Rebound,On the Rebound,"['Folk', 'world', 'country']",1961
Steve Lawrence,30,Portrait of My Love,Portrait of My Love,['Traditional pop'],1961
Gary U.S. Bonds,31,Quarter to Three,Quarter to Three,['Doo-wop'],1961
Barry Mann,32,"Who Put the Bomp (in the Bomp, Bomp, Bomp)","Who Put the Bomp (in the Bomp, Bomp, Bomp)",['Doo-wopNovelty songBubblegum pop (Sugaryline version)'],1961
Neil Sedaka,33,Calendar Girl,Calendar Girl,['Brill Building'],1961
Chris Kenner,34,I Like It Like That,I Like It Like That,['Pop rock'],1961
Jørgen Ingmann,35,Apache,Apache,['Instrumental rock'],1961
Linda Scott,36,"[""Don't Bet Money Honey""]",Don't Bet Money Honey,['Pop'],1961
Johnny Tillotson,37,Without You,Without You,['Pop'],1961
Ferlin Husky,38,Wings of a Dove,Wings of a Dove,['Country'],1961
Elvis Presley,39,Little Sister,Little Sister,"['Rock and roll', '']",1961
The Marcels,40,Blue Moon,Blue Moon,['Ballad'],1961
Shep and the Limelites,41,"[""Daddy's Home""]",Daddy's Home,['R&B'],1961
Troy Shondell,42,This Time,This Time,['Rock and roll'],1961
